Country	Branch	DoD Grade	Abbreviation	NATO Code	Title	Image URL
us	af	O-10	Gen	OF-9	General	https://upload.wikimedia.org/wikipedia/commons/4/40/US-O10_insignia.svg
us	army	E-1	PV1	OR-1	Private	
us	army	E-2	PV2	OR-2	Private	https://upload.wikimedia.org/wikipedia/commons/9/91/Army-USA-OR-02.svg
us	army	E-3	PFC	OR-3	Private First Class	https://upload.wikimedia.org/wikipedia/commons/c/cc/Army-USA-OR-03.svg
us	army	E-4	SPC	OR-4	Specialist	https://upload.wikimedia.org/wikipedia/commons/1/1c/Army-USA-OR-04b.svg
us	army	E-4	CPL	OR-4	Corporal	https://upload.wikimedia.org/wikipedia/commons/a/a2/Army-USA-OR-04a.svg
us	army	E-5	SGT	OR-5	Sergeant	https://upload.wikimedia.org/wikipedia/commons/2/27/Army-USA-OR-05.svg
us	army	E-6	SSG	OR-6	Staff Sergeant	https://upload.wikimedia.org/wikipedia/commons/0/0b/Army-USA-OR-06.svg
us	army	E-7	SFC	OR-7	Sergeant First Class	https://upload.wikimedia.org/wikipedia/commons/7/71/Army-USA-OR-07.svg
us	army	E-8	MSG	OR-8	Master Sergeant	https://upload.wikimedia.org/wikipedia/commons/8/8a/Army-USA-OR-08b.svg
us	army	E-8	1SG	OR-8	First Sergeant	https://upload.wikimedia.org/wikipedia/commons/3/3c/Army-USA-OR-08a.svg
us	army	E-9	SGM	OR-9	Sergeant Major	https://upload.wikimedia.org/wikipedia/commons/5/5d/Army-USA-OR-09c.svg
us	army	E-9	CSM	OR-9	Command Sergeant Major	https://upload.wikimedia.org/wikipedia/commons/3/31/Army-USA-OR-09b.svg
us	army	E-9	SMA	OR-9	Sergeant Major of the Army	https://upload.wikimedia.org/wikipedia/commons/f/f6/Army-USA-OR-09a.svg
us	army	O-1	2LT	OF-1	Second Lieutenant	https://upload.wikimedia.org/wikipedia/commons/0/05/US-O1_insignia.svg
us	army	O-2	1LT	OF-1	First Lieutenant	https://upload.wikimedia.org/wikipedia/commons/7/72/US-O2_insignia.svg
us	army	O-3	CPT	OF-2	Captain	https://upload.wikimedia.org/wikipedia/commons/7/72/US-O3_insignia.svg
us	army	O-4	MAJ	OF-3	Major	https://upload.wikimedia.org/wikipedia/commons/8/8f/US-O4_insignia.svg
us	army	O-5	LTC	OF-4	Lieutenant Colonel	https://upload.wikimedia.org/wikipedia/commons/6/6e/US-O5_insignia.svg
us	army	O-6	COL	OF-5	Colonel	https://upload.wikimedia.org/wikipedia/commons/c/c5/US-O6_insignia.svg
us	army	O-7	BG	OF-6	Brigadier General	https://upload.wikimedia.org/wikipedia/commons/2/23/US-O7_insignia.svg
us	army	O-8	MG	OF-7	Major General	https://upload.wikimedia.org/wikipedia/commons/9/91/US-O8_insignia.svg
us	army	O-9	LG	OF-8	Lieutenant General	https://upload.wikimedia.org/wikipedia/commons/d/da/US-O9_insignia.svg
us	army	O-10	GEN	OF-9	General	https://upload.wikimedia.org/wikipedia/commons/4/40/US-O10_insignia.svg
us	army	W-1	W01	WO-1	Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/e/e3/US-Army-WO1.svg
us	army	W-2	CW2	WO-2	Chief Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/d/de/US-Army-CW2.svg
us	army	W-3	CW3	WO-3	Chief Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/2/2a/US-Army-CW3.svg
us	army	W-4	CW4	WO-4	Chief Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/4/42/US-Army-CW4.svg
us	army	W-5	CW5	WO-5	Chief Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/3/37/US-Army-CW5compare.svg
us	marines	E-1	Pvt	OR-1	Private	
us	marines	E-2	PFC	OR-2	Private First Class	https://upload.wikimedia.org/wikipedia/commons/1/17/USMC-E2.svg
us	marines	E-3	LCpl	OR-3	Lance Corporal	https://upload.wikimedia.org/wikipedia/commons/4/4e/USMC-E3.svg
us	marines	E-4	Cpl	OR-4	Corporal	https://upload.wikimedia.org/wikipedia/commons/2/24/USMC-E4.svg
us	marines	E-5	Sgt	OR-5	Sergeant	https://upload.wikimedia.org/wikipedia/commons/6/69/USMC-E5.svg
us	marines	E-6	SSgt	OR-6	Staff Sergeant	https://upload.wikimedia.org/wikipedia/commons/7/77/USMC-E6.svg
us	marines	E-7	GySgt	OR-7	Gunnery Sergeant	https://upload.wikimedia.org/wikipedia/commons/f/f6/USMC-E7.svg
us	marines	E-8	MSgt	OR-8	Master Sergeant	https://upload.wikimedia.org/wikipedia/commons/3/3c/USMC-E8-MSG.svg
us	marines	E-8	1stSgt	OR-8	First Sergeant	https://upload.wikimedia.org/wikipedia/commons/4/43/USMC-E8-1SG.svg
us	marines	E-9	MGySgt	OR-9	Master Gunnery Sergeant	https://upload.wikimedia.org/wikipedia/commons/a/aa/USMC-E9-MGyS.svg
us	marines	E-9	SgtMaj	OR-9	Sergeant Major	https://upload.wikimedia.org/wikipedia/commons/8/80/USMC-E9-SGM.svg
us	marines	E-9	SgtMajMarCor	OR-9	Sergeant Major of the Marine Corps	https://upload.wikimedia.org/wikipedia/commons/3/38/USMC-E9-SGMMC.svg
us	marines	O-1	2ndLt	OF-1	Second Lieutenant	https://upload.wikimedia.org/wikipedia/commons/0/05/US-O1_insignia.svg
us	marines	O-2	1stLt	OF-1	First Lieutenant	https://upload.wikimedia.org/wikipedia/commons/7/72/US-O2_insignia.svg
us	marines	O-3	Capt	OF-2	Captain	https://upload.wikimedia.org/wikipedia/commons/7/72/US-O3_insignia.svg
us	marines	O-4	Maj	OF-3	Major	https://upload.wikimedia.org/wikipedia/commons/8/8f/US-O4_insignia.svg
us	marines	O-5	LtCol	OF-4	Lieutenant Colonel	https://upload.wikimedia.org/wikipedia/commons/6/6e/US-O5_insignia.svg
us	marines	O-6	Col	OF-5	Colonel	https://upload.wikimedia.org/wikipedia/commons/c/c5/US-O6_insignia.svg
us	marines	O-7	BGen	OF-6	Brigadier General	https://upload.wikimedia.org/wikipedia/commons/2/23/US-O7_insignia.svg
us	marines	O-8	MajGen	OF-7	Major General	https://upload.wikimedia.org/wikipedia/commons/9/91/US-O8_insignia.svg
us	marines	O-9	LtGen	OF-8	Lieutenant General	https://upload.wikimedia.org/wikipedia/commons/d/da/US-O9_insignia.svg
us	marines	O-10	Gen	OF-9	General	https://upload.wikimedia.org/wikipedia/commons/4/40/US-O10_insignia.svg
us	marines	W-1	WO	WO-1	Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/c/c4/USMC_WO1.svg
us	marines	W-2	CWO2	WO-2	Chief Warrant Officer-2	https://upload.wikimedia.org/wikipedia/commons/7/76/USMC_CWO2.svg
us	marines	W-3	CWO3	WO-3	Chief Warrant Officer-3	https://upload.wikimedia.org/wikipedia/commons/6/6f/USMC_CWO3.svg
us	marines	W-4	CWO4	WO-4	Chief Warrant Officer-4	https://upload.wikimedia.org/wikipedia/commons/1/16/USMC_CWO4.svg
us	marines	W-5	CWO5	WO-5	Chief Warrant Officer-5	https://upload.wikimedia.org/wikipedia/commons/4/47/USMC_CWO5.svg
us	navy	E-1	SR	OR-1	Seaman Recruit	
us	navy	E-2	SA	OR-2	Seaman Apprentice	https://upload.wikimedia.org/wikipedia/commons/1/17/E2_SM_USN.png
us	navy	E-3	SN	OR-3	Seaman	https://upload.wikimedia.org/wikipedia/commons/1/1e/E3_SM_USN.png
us	navy	E-4	PO3	OR-4	Petty Officer Third Class	https://upload.wikimedia.org/wikipedia/commons/4/49/PO3_GC.png
us	navy	E-5	PO2	OR-5	Petty Officer Second Class	https://upload.wikimedia.org/wikipedia/commons/f/fc/PO2_GC.png
us	navy	E-6	PO1	OR-6	Petty Officer First Class	https://upload.wikimedia.org/wikipedia/commons/d/d7/PO1_GC.png
us	navy	E-7	CPO	OR-7	Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/6/6a/CPO_GC.svg
us	navy	E-8	SCPO	OR-8	Senior Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/c/cc/SCPO_GC.svg
us	navy	E-9	MCPO	OR-9	Master Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/b/bd/MCPO_GC.svg
us	navy	E-9	CMDCM	OR-9	Command Master Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/3/37/CMCPO.svg
us	navy	E-9	FLTCM	OR-9	Fleet Master Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/c/cd/FMCPO.svg
us	navy	E-9	FORCM	OR-9	Force Master Chief Petty Officer	https://upload.wikimedia.org/wikipedia/commons/c/cd/FMCPO.svg
us	navy	E-9	MCPON	OR-9	Master Chief Petty Officer of the Navy	https://upload.wikimedia.org/wikipedia/commons/b/be/MCPON.svg
us	navy	O-1	ENS	OF-1	Ensign	https://upload.wikimedia.org/wikipedia/commons/0/05/US-O1_insignia.svg
us	navy	O-2	LTJG	OF-1	Lieutenant Junior Grade	https://upload.wikimedia.org/wikipedia/commons/7/72/US-O2_insignia.svg
us	navy	O-3	LT	OF-2	Lieutenant	https://upload.wikimedia.org/wikipedia/commons/7/72/US-O3_insignia.svg
us	navy	O-4	LCDR	OF-3	Lieutenant Commander	https://upload.wikimedia.org/wikipedia/commons/8/8f/US-O4_insignia.svg
us	navy	O-5	CDR	OF-4	Commander	https://upload.wikimedia.org/wikipedia/commons/6/6e/US-O5_insignia.svg
us	navy	O-6	CAPT	OF-5	Captain	https://upload.wikimedia.org/wikipedia/commons/c/c5/US-O6_insignia.svg
us	navy	O-7	RDML	OF-6	Rear Admiral (Lower Half)	https://upload.wikimedia.org/wikipedia/commons/2/23/US-O7_insignia.svg
us	navy	O-8	RADM	OF-7	Rear Admiral (Upper Half)	https://upload.wikimedia.org/wikipedia/commons/9/91/US-O8_insignia.svg
us	navy	O-9	VADM	OF-8	Vice Admiral	https://upload.wikimedia.org/wikipedia/commons/d/da/US-O9_insignia.svg
us	navy	O-10	ADM	OF-9	Admiral	https://upload.wikimedia.org/wikipedia/commons/4/40/US-O10_insignia.svg
us	navy	W-2	CWO2	WO-2	Chief Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/4/44/US_Navy_CW2_insignia.svg
us	navy	W-3	CWO3	WO-3	Chief Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/4/47/US_Navy_CW3_insignia.svg
us	navy	W-4	CWO4	WO-4	Chief Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/b/b0/US_Navy_CW4_insignia.svg
us	navy	W-5	CWO5	WO-5	Chief Warrant Officer	https://upload.wikimedia.org/wikipedia/commons/2/2c/US_Navy_CW5_insignia.svg
